ID,DateTime,Record,Status,Lat,Lon,Wind,Pressure,NE_34kt,SE_34kt,SW_34kt,NW_34kt,NE_50kt,SE_50kt,SW_50kt,NW_50kt,NE_64kt,SE_64kt,SW_64kt,NW_64kt
AL022009, 2009-08-12T06:00:00Z, U, TD, 14.5, -32.1, 30.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142012, 2012-09-20T06:00:00Z, U, TS, 36.9, -30.9, 50.0, 986.0, 150.0, 150.0, 180.0, 240.0, 0.0, 80.0, 80.0, 100.0, 0.0, 0.0, 0.0, 0.0
AL092011, 2011-08-23T12:00:00Z, U, HU, 20.4, -70.6, 80.0, 978.0, 180.0, 120.0, 90.0, 130.0, 90.0, 60.0, 40.0, 70.0, 40.0, 30.0, 20.0, 35.0
AL182011, 2011-10-23T06:00:00Z, U, TD, 14.2, -81.4, 25.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL182011, 2011-10-22T18:00:00Z, U, LO, 13.2, -81.4, 25.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112013, 2013-10-05T18:00:00Z, U, LO, 36.7, -29.8, 40.0, 1008.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112012, 2012-09-02T00:00:00Z, U, TS, 40.3, -43.0, 55.0, 998.0, 70.0, 90.0, 50.0, 0.0, 40.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142010, 2010-09-20T06:00:00Z, U, LO, 15.5, -32.1, 25.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172010, 2010-10-11T18:00:00Z, U, EX, 43.5, -26.3, 40.0, 998.0, 150.0, 150.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072012, 2012-08-18T00:00:00Z, U, TS, 20.8, -96.1, 35.0, 1006.0, 0.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112010, 2010-09-20T00:00:00Z, U, HU, 31.9, -65.7, 65.0, 953.0, 300.0, 250.0, 200.0, 300.0, 180.0, 150.0, 120.0, 150.0, 75.0, 60.0, 75.0, 75.0
AL152004, 2004-10-10T12:00:00Z, U, SS, 31.5, -66.5, 40.0, 1000.0, 150.0, 100.0, 175.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042006, 2006-08-04T00:00:00Z, U, TD, 20.7, -68.7, 30.0, 1011.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062008, 2008-08-19T18:00:00Z, U, TS, 27.0, -81.1, 60.0, 986.0, 120.0, 150.0, 30.0, 30.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL192017, 2017-11-07T12:00:00Z, U, TS, 31.8, -49.5, 40.0, 1004.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122012, 2012-09-02T12:00:00Z, U, TS, 21.2, -60.7, 50.0, 997.0, 180.0, 180.0, 60.0, 140.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL152017, 2017-09-20T18:00:00Z, U, HU, 18.6, -67.0, 95.0, 959.0, 130.0, 110.0, 100.0, 110.0, 70.0, 70.0, 60.0, 70.0, 50.0, 45.0, 35.0, 40.0
AL162010, 2010-09-28T00:00:00Z, U, LO, 19.4, -84.1, 25.0, 1003.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162005, 2005-09-22T00:00:00Z, U, EX, 61.7, -8.4, 35.0, 993.0, 120.0, 150.0, 90.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032012, 2012-06-17T12:00:00Z, U, LO, 30.4, -65.4, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072004, 2004-08-28T18:00:00Z, U, TS, 31.3, -78.8, 50.0, 997.0, 75.0, 75.0, 40.0, 40.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122016, 2016-09-25T06:00:00Z, U, TS, 35.8, -55.1, 60.0, 990.0, 140.0, 160.0, 90.0, 60.0, 70.0, 80.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042015, 2015-08-19T00:00:00Z, U, TS, 10.9, -38.4, 45.0, 1005.0, 50.0, 30.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012011, 2011-06-29T00:00:00Z, U, TS, 21.0, -93.9, 35.0, 1005.0, 100.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072016, 2016-08-30T06:00:00Z, U, HU, 31.7, -54.4, 85.0, 970.0, 120.0, 120.0, 80.0, 80.0, 60.0, 60.0, 40.0, 40.0, 35.0, 35.0, 25.0, 25.0
AL082016, 2016-08-29T12:00:00Z, U, TD, 32.9, -73.2, 30.0, 1011.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162007, 2007-11-05T00:00:00Z, U, EX, 54.8, -59.6, 60.0, 967.0, 450.0, 475.0, 250.0, 125.0, 270.0, 270.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112009, 2009-11-10T00:00:00Z, U, TS, 28.9, -88.7, 60.0, 993.0, 175.0, 125.0, 75.0, 100.0, 60.0, 0.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0
AL192017, 2017-11-07T18:00:00Z, U, TS, 33.0, -49.1, 40.0, 1002.0, 110.0, 110.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092012, 2012-08-21T00:00:00Z, U, LO, 15.2, -48.5, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032014, 2014-08-04T12:00:00Z, U, HU, 26.8, -73.6, 70.0, 998.0, 140.0, 100.0, 30.0, 40.0, 40.0, 40.0, 0.0, 0.0, 20.0, 20.0, 0.0, 0.0
AL152017, 2017-09-23T06:00:00Z, U, HU, 24.4, -71.9, 100.0, 952.0, 170.0, 170.0, 100.0, 120.0, 90.0, 90.0, 60.0, 70.0, 50.0, 40.0, 35.0, 30.0
AL102010, 2010-09-04T18:00:00Z, U, LO, 17.5, -95.6, 20.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092009, 2009-10-02T06:00:00Z, U, EX, 39.7, -29.4, 35.0, 997.0, 30.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122010, 2010-09-15T00:00:00Z, U, HU, 16.4, -30.6, 90.0, 973.0, 90.0, 60.0, 60.0, 60.0, 30.0, 30.0, 20.0, 30.0, 20.0, 20.0, 0.0, 20.0
AL082004, 2004-08-31T06:00:00Z, L, TS, 41.5, -70.9, 35.0, 1012.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042013, 2013-07-26T18:00:00Z, U, TS, 17.6, -45.0, 40.0, 1010.0, 50.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL202005, 2005-10-04T00:00:00Z, U, TS, 19.8, -93.2, 55.0, 990.0, 75.0, 45.0, 0.0, 75.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062010, 2010-08-26T18:00:00Z, U, HU, 24.8, -56.4, 90.0, 970.0, 150.0, 105.0, 90.0, 120.0, 75.0, 50.0, 40.0, 60.0, 40.0, 25.0, 20.0, 40.0
AL062010, 2010-09-01T00:00:00Z, U, EX, 43.5, -30.4, 45.0, 988.0, 180.0, 180.0, 180.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042011, 2011-07-28T06:00:00Z, U, TS, 22.9, -88.4, 35.0, 1000.0, 60.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142005, 2005-09-12T00:00:00Z, U, EX, 55.5, -31.0, 65.0, 962.0, 300.0, 400.0, 250.0, 200.0, 200.0, 300.0, 150.0, 120.0, 180.0, 250.0, 0.0, 0.0
AL042011, 2011-07-29T06:00:00Z, U, TS, 25.1, -93.1, 45.0, 1000.0, 60.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112016, 2016-09-20T06:00:00Z, U, EX, 34.3, -76.1, 30.0, 1011.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052006, 2006-08-26T12:00:00Z, U, LO, 25.7, -46.9, 25.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172012, 2012-10-21T00:00:00Z, U, EX, 49.7, -32.2, 45.0, 975.0, 0.0, 240.0, 480.0, 480.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082006, 2006-09-18T18:00:00Z, U, HU, 37.5, -46.3, 85.0, 972.0, 80.0, 90.0, 80.0, 60.0, 40.0, 50.0, 40.0, 30.0, 25.0, 35.0, 30.0, 0.0
AL042013, 2013-07-29T06:00:00Z, U, DB, 20.6, -63.7, 25.0, 1014.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122008, 2008-09-29T12:00:00Z, U, SS, 37.2, -47.7, 50.0, 995.0, 240.0, 200.0, 150.0, 180.0, 80.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL022012, 2012-05-31T00:00:00Z, U, LO, 35.4, -75.1, 45.0, 994.0, 0.0, 130.0, 100.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL022007, 2007-06-03T12:00:00Z, U, EX, 32.8, -80.0, 40.0, 994.0, 125.0, 150.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072013, 2013-09-04T18:00:00Z, U, TD, 16.2, -65.9, 30.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112010, 2010-09-20T18:00:00Z, U, HU, 37.2, -62.6, 65.0, 960.0, 350.0, 300.0, 250.0, 300.0, 180.0, 150.0, 120.0, 160.0, 75.0, 45.0, 60.0, 75.0
AL092010, 2010-09-02T06:00:00Z, U, TD, 13.2, -38.0, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012014, 2014-07-06T06:00:00Z, U, EX, 47.6, -62.4, 45.0, 982.0, 90.0, 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042010, 2010-08-04T12:00:00Z, U, DB, 18.0, -59.5, 35.0, 1009.0, 150.0, 0.0, 0.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL102008, 2008-09-06T00:00:00Z, U, TD, 16.2, -35.5, 30.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112015, 2015-10-08T18:00:00Z, U, LO, 43.5, -27.3, 45.0, 984.0, 180.0, 280.0, 270.0, 140.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042013, 2013-07-25T06:00:00Z, U, TS, 15.3, -33.9, 50.0, 1002.0, 40.0, 30.0, 0.0, 40.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042008, 2008-07-23T00:00:00Z, U, HU, 24.9, -95.7, 65.0, 982.0, 120.0, 120.0, 100.0, 100.0, 40.0, 40.0, 30.0, 40.0, 20.0, 0.0, 20.0, 20.0
AL072010, 2010-09-02T06:00:00Z, U, HU, 28.6, -74.3, 125.0, 927.0, 200.0, 180.0, 120.0, 180.0, 120.0, 120.0, 80.0, 100.0, 80.0, 70.0, 40.0, 60.0
AL012004, 2004-08-06T00:00:00Z, U, HU, 44.5, -49.3, 75.0, 978.0, 75.0, 300.0, 300.0, 75.0, 50.0, 75.0, 50.0, 30.0, 25.0, 50.0, 25.0, 0.0
AL082017, 2017-08-15T18:00:00Z, U, HU, 33.2, -71.8, 70.0, 980.0, 100.0, 100.0, 60.0, 50.0, 50.0, 50.0, 0.0, 30.0, 20.0, 20.0, 0.0, 0.0
AL062014, 2014-09-11T12:00:00Z, U, TD, 15.8, -36.5, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082005, 2005-08-07T00:00:00Z, U, TS, 34.1, -55.5, 50.0, 995.0, 105.0, 60.0, 25.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112010, 2010-09-18T18:00:00Z, U, HU, 26.6, -64.0, 80.0, 945.0, 300.0, 225.0, 200.0, 240.0, 160.0, 110.0, 110.0, 130.0, 80.0, 50.0, 45.0, 75.0
AL082014, 2014-10-13T06:00:00Z, U, TS, 16.7, -60.6, 55.0, 996.0, 60.0, 40.0, 20.0, 60.0, 30.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0
AL122017, 2017-09-16T00:00:00Z, U, HU, 27.2, -70.7, 65.0, 983.0, 130.0, 120.0, 80.0, 90.0, 60.0, 60.0, 30.0, 40.0, 30.0, 15.0, 0.0, 20.0
AL102011, 2011-08-25T06:00:00Z, U, TD, 12.7, -30.1, 30.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172011, 2011-09-26T00:00:00Z, U, TS, 13.8, -32.1, 45.0, 1005.0, 60.0, 45.0, 45.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122017, 2017-09-18T12:00:00Z, U, HU, 33.5, -71.2, 70.0, 976.0, 200.0, 180.0, 120.0, 150.0, 100.0, 80.0, 60.0, 90.0, 50.0, 0.0, 0.0, 50.0
AL092013, 2013-09-13T18:00:00Z, U, TS, 24.8, -31.7, 45.0, 995.0, 180.0, 140.0, 100.0, 160.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092014, 2014-10-21T12:00:00Z, U, LO, 19.5, -94.2, 25.0, 1001.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162016, 2016-11-25T12:00:00Z, U, TS, 10.3, -87.5, 55.0, 995.0, 40.0, 40.0, 30.0, 40.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0
AL062012, 2012-08-04T12:00:00Z, U, TS, 14.7, -29.9, 40.0, 1005.0, 50.0, 30.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012004, 2004-08-06T12:00:00Z, U, TS, 47.0, -37.5, 50.0, 987.0, 75.0, 300.0, 300.0, 75.0, 50.0, 75.0, 50.0, 30.0, 0.0, 0.0, 0.0, 0.0
AL032015, 2015-07-13T18:00:00Z, U, TS, 37.6, -67.5, 45.0, 1003.0, 60.0, 50.0, 20.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142005, 2005-09-07T06:00:00Z, U, HU, 34.8, -53.3, 70.0, 983.0, 140.0, 140.0, 120.0, 140.0, 75.0, 90.0, 60.0, 90.0, 45.0, 45.0, 45.0, 45.0
AL052015, 2015-08-26T00:00:00Z, U, TS, 15.7, -53.6, 35.0, 1006.0, 90.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL192010, 2010-10-21T06:00:00Z, U, TD, 17.0, -80.9, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL132007, 2007-09-28T00:00:00Z, U, HU, 20.5, -96.3, 70.0, 990.0, 40.0, 40.0, 60.0, 40.0, 15.0, 30.0, 30.0, 15.0, 10.0, 20.0, 20.0, 10.0
AL102006, 2006-09-29T18:00:00Z, U, TS, 29.5, -56.5, 50.0, 1000.0, 110.0, 100.0, 60.0, 75.0, 40.0, 40.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0
AL082005, 2005-08-12T00:00:00Z, U, EX, 43.0, -30.5, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL182005, 2005-09-18T00:00:00Z, U, TD, 21.3, -69.9, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012009, 2009-05-28T06:00:00Z, U, TD, 36.1, -72.9, 25.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172005, 2005-09-22T00:00:00Z, U, TS, 22.4, -56.7, 35.0, 1002.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL152017, 2017-09-18T18:00:00Z, U, HU, 14.9, -60.4, 110.0, 956.0, 110.0, 90.0, 80.0, 90.0, 30.0, 30.0, 30.0, 30.0, 20.0, 15.0, 15.0, 20.0
AL082008, 2008-09-06T06:00:00Z, U, TS, 33.4, -78.8, 60.0, 981.0, 175.0, 175.0, 75.0, 0.0, 60.0, 60.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142017, 2017-09-28T06:00:00Z, U, HU, 32.1, -57.3, 90.0, 969.0, 80.0, 80.0, 70.0, 70.0, 50.0, 50.0, 40.0, 40.0, 30.0, 30.0, 25.0, 25.0
AL022009, 2009-08-11T00:00:00Z, U, LO, 14.4, -26.8, 25.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092004, 2004-09-20T18:00:00Z, U, EX, 26.4, -79.1, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122017, 2017-09-20T18:00:00Z, U, TS, 39.2, -69.4, 60.0, 976.0, 200.0, 190.0, 180.0, 180.0, 60.0, 70.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0
AL042007, 2007-08-16T18:00:00Z, U, HU, 13.8, -55.5, 80.0, 972.0, 120.0, 75.0, 40.0, 120.0, 50.0, 25.0, 10.0, 50.0, 20.0, 20.0, 5.0, 20.0
AL092008, 2008-09-03T18:00:00Z, U, HU, 21.1, -51.9, 75.0, 979.0, 130.0, 100.0, 60.0, 120.0, 75.0, 50.0, 30.0, 50.0, 30.0, 0.0, 0.0, 0.0
AL092005, 2005-08-05T12:00:00Z, U, TD, 15.6, -36.8, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092014, 2014-10-27T06:00:00Z, U, TS, 15.0, -82.4, 35.0, 1005.0, 0.0, 0.0, 60.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122012, 2012-08-29T00:00:00Z, U, LO, 13.1, -31.7, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062006, 2006-09-03T18:00:00Z, U, EX, 44.5, -77.0, 20.0, 1015.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032006, 2006-07-21T00:00:00Z, U, TS, 39.8, -71.8, 45.0, 1003.0, 90.0, 75.0, 50.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092013, 2013-09-09T00:00:00Z, U, TD, 13.1, -21.3, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112011, 2011-08-27T12:00:00Z, U, TS, 27.9, -63.4, 35.0, 1008.0, 15.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL102015, 2015-09-17T06:00:00Z, U, LO, 11.6, -31.8, 25.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142016, 2016-10-07T12:00:00Z, U, HU, 28.9, -80.3, 105.0, 944.0, 170.0, 150.0, 80.0, 120.0, 80.0, 70.0, 60.0, 60.0, 50.0, 40.0, 35.0, 40.0
AL032010, 2010-07-25T06:00:00Z, U, LO, 29.2, -89.5, 25.0, 1012.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112004, 2004-09-19T00:00:00Z, U, TS, 22.2, -72.2, 40.0, 1002.0, 75.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062010, 2010-08-29T00:00:00Z, U, HU, 30.9, -59.2, 85.0, 958.0, 210.0, 180.0, 180.0, 180.0, 90.0, 75.0, 75.0, 90.0, 60.0, 60.0, 40.0, 55.0
AL062005, 2005-07-25T06:00:00Z, U, TS, 31.0, -70.5, 40.0, 1000.0, 0.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL102008, 2008-09-02T00:00:00Z, U, TD, 12.3, -21.9, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162011, 2011-09-24T12:00:00Z, U, TS, 17.2, -55.9, 45.0, 1005.0, 220.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012016, 2016-01-09T18:00:00Z, U, EX, 35.1, -56.1, 60.0, 985.0, 400.0, 200.0, 120.0, 240.0, 130.0, 70.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0
AL142012, 2012-09-27T12:00:00Z, U, TS, 28.7, -31.9, 50.0, 993.0, 110.0, 60.0, 80.0, 120.0, 50.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0
AL292005, 2005-11-26T12:00:00Z, U, TS, 22.0, -38.4, 35.0, 997.0, 100.0, 125.0, 125.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL212010, 2010-11-02T18:00:00Z, U, TS, 13.6, -73.4, 35.0, 1006.0, 90.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122017, 2017-09-12T18:00:00Z, U, HU, 27.4, -67.4, 70.0, 980.0, 110.0, 100.0, 70.0, 80.0, 40.0, 40.0, 20.0, 30.0, 20.0, 20.0, 10.0, 10.0
AL022012, 2012-05-30T18:00:00Z, U, LO, 34.5, -77.1, 40.0, 997.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162007, 2007-11-03T18:00:00Z, U, EX, 38.8, -69.7, 75.0, 970.0, 540.0, 390.0, 240.0, 300.0, 180.0, 210.0, 180.0, 200.0, 0.0, 90.0, 0.0, 120.0
AL112017, 2017-09-06T06:00:00Z, U, HU, 17.7, -61.9, 155.0, 914.0, 150.0, 110.0, 90.0, 150.0, 80.0, 60.0, 50.0, 70.0, 45.0, 40.0, 30.0, 45.0
AL042009, 2009-08-16T06:00:00Z, U, TD, 27.0, -83.4, 30.0, 1011.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032017, 2017-06-19T18:00:00Z, U, DB, 23.6, -88.6, 35.0, 1003.0, 180.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL212010, 2010-11-06T18:00:00Z, U, HU, 23.8, -70.3, 65.0, 988.0, 100.0, 100.0, 75.0, 75.0, 40.0, 40.0, 20.0, 30.0, 20.0, 20.0, 0.0, 0.0
AL112004, 2004-09-16T00:00:00Z, U, TS, 18.5, -67.1, 60.0, 993.0, 60.0, 30.0, 60.0, 60.0, 20.0, 10.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0
AL192011, 2011-11-11T06:00:00Z, U, TS, 32.2, -67.2, 50.0, 987.0, 150.0, 120.0, 100.0, 60.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062006, 2006-08-31T18:00:00Z, U, TS, 31.9, -79.2, 60.0, 993.0, 100.0, 100.0, 60.0, 25.0, 40.0, 40.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092008, 2008-09-09T14:00:00Z, L, HU, 22.6, -82.9, 70.0, 965.0, 155.0, 155.0, 100.0, 170.0, 90.0, 75.0, 30.0, 90.0, 30.0, 0.0, 0.0, 30.0
AL042008, 2008-07-23T18:20:00Z, L, HU, 26.4, -97.2, 75.0, 967.0, 120.0, 120.0, 45.0, 45.0, 40.0, 40.0, 30.0, 30.0, 30.0, 20.0, 20.0, 20.0
AL072016, 2016-08-28T12:00:00Z, U, HU, 30.3, -54.7, 90.0, 969.0, 120.0, 120.0, 60.0, 80.0, 60.0, 40.0, 30.0, 40.0, 20.0, 20.0, 10.0, 20.0
AL082009, 2009-09-26T12:00:00Z, U, TD, 17.8, -34.3, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112010, 2010-09-21T18:00:00Z, U, EX, 48.5, -52.1, 75.0, 950.0, 450.0, 400.0, 350.0, 400.0, 220.0, 210.0, 160.0, 180.0, 0.0, 75.0, 75.0, 75.0
AL052008, 2008-08-06T18:00:00Z, U, LO, 32.7, -98.7, 20.0, 1012.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042004, 2004-08-13T18:00:00Z, U, TD, 12.4, -23.0, 30.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
